"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"196",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"197",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"198",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"199",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"200",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"201",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"202",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"203",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"204",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"205",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"206",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"207",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"208",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"209",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"210",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"211",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"212",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"213",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"214",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"215",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"216",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"217",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"218",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"219",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"220",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"221",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"222",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"223",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"224",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"225",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"226",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"227",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"228",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"229",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"230",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"231",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"232",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"233",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"234",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"235",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"236",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"237",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"238",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"239",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"240",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"241",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"242",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"243",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"244",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"245",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"246",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"247",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"248",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"249",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"250",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"251",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"252",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"253",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"254",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"255",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"256",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"257",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"258",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"259",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"260",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"261",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"262",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"263",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"264",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"265",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"266",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"267",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"268",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"269",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"270",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"271",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"272",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"273",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"274",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"275",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"276",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"277",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"278",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"279",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"280",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"281",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"282",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"283",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"284",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"285",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"286",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"287",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"288",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"289",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"290",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"291",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"292",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"293",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"294",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"295",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"296",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"297",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"298",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"299",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"300",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"301",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"302",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"303",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"304",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"305",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"306",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"307",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"308",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"309",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"310",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"311",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"312",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"313",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"314",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"315",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"316",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"317",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"318",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"319",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"320",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"321",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"322",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"323",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"324",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"325",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"326",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"327",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"328",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"329",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"330",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"331",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"332",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"333",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"334",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"335",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"336",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"337",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"338",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"339",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"340",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"341",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"342",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"343",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"344",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"345",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"346",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"347",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"348",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"349",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"350",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"351",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"352",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"353",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"354",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"355",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"356",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"357",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"358",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"359",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"360",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"361",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"362",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"363",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"364",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"365",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"366",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"367",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"368",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"369",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"370",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"371",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"372",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"373",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"374",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"375",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
