"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"137",1,0.20344,0.12464,0.22168,0.21072,0.38384,0.2654,NA,NA,0.446521998482,0.446928216054749,86.74384,91.111,0.455639049201029,0.454694802506688,0.94832,0.9362,6
"138",1,0.02216,0.0168,0.02848,0.02776,0.71964,0.67824,NA,NA,0.387292261904762,0.390736604475603,90.79896,94.97712,0.403171461838559,0.404807573417091,0.968,0.965,70
"139",1,0.01956,0.01548,0.02548,0.0248,0.7176,0.68264,NA,NA,0.388492466777409,0.391901873727606,92.63924,96.85616,0.403485891728447,0.405260082768394,0.96664,0.9678,71
"140",1,0.02076,0.0152,0.02708,0.02596,0.72056,0.67864,NA,NA,0.387623538961039,0.390956286723324,90.86352,95.27576,0.403350682548823,0.404924416551452,0.9672,0.96596,72
"141",1,0.01756,0.01452,0.02344,0.02288,0.72164,0.68596,NA,NA,0.388885682539683,0.392114394999148,93.14516,97.63328,0.404699058047696,0.405239259218098,0.9708,0.9688,73
"142",1,0.02188,0.01444,0.02632,0.02444,0.7234,0.67992,NA,NA,0.387734270186335,0.390927736584274,90.86448,95.58468,0.403381106698162,0.404785364453045,0.96632,0.96864,74
"143",1,0.02032,0.01576,0.02552,0.02448,0.72516,0.69256,NA,NA,0.38848358662614,0.391526757564733,93.13544,97.97316,0.403314280201395,0.404742229905232,0.96808,0.96724,75
"144",1,0.02028,0.01424,0.02696,0.02616,0.72548,0.67724,NA,NA,0.387974285714286,0.391319039968569,91.32096,96.2966,0.403454329908958,0.404932111866097,0.96844,0.96608,76
"145",1,0.01848,0.01448,0.02476,0.02392,0.72372,0.68696,NA,NA,0.389495,0.392613300939344,93.95848,98.96648,0.404005120012951,0.405400421608683,0.96844,0.96912,77
"146",1,0.02012,0.01484,0.026,0.02464,0.72948,0.68108,NA,NA,0.3878034,0.391068409657329,91.8768,97.02024,0.404160043954907,0.404564411024568,0.96844,0.96756,78
"147",1,0.01708,0.01392,0.0226,0.02208,0.72684,0.69116,NA,NA,0.389217745098039,0.392146872856894,94.72888,99.81016,0.403671057767654,0.404918811912866,0.97328,0.97104,79
"148",1,0.26596,0.17136,0.28872,0.27628,0.30616,0.2048,NA,NA,0.462974517948953,0.461834208358069,87.19912,91.439,0.469480312656341,0.467665812010382,0.9294,0.92988,7
"149",1,0.01872,0.01544,0.02432,0.02376,0.726,0.67436,NA,NA,0.388296758241758,0.391525545763281,92.468,97.44532,0.403469816668656,0.4048753675046,0.96684,0.96876,80
"150",1,0.01584,0.01356,0.02256,0.02228,0.72308,0.68736,NA,NA,0.389309265498652,0.392154345231105,95.52748,99.91596,0.403644213420351,0.404911270499212,0.97096,0.97016,81
"151",1,0.0196,0.01636,0.02676,0.0264,0.72304,0.67116,NA,NA,0.389325899470899,0.392145262322643,93.67936,97.61924,0.404096995437729,0.405329627988116,0.96856,0.96704,82
"152",1,0.01744,0.0138,0.0226,0.0224,0.71532,0.6832,NA,NA,0.389995103896104,0.39245088265835,96.63496,99.57464,0.404093223774882,0.405167397928786,0.96828,0.9702,83
"153",1,0.017,0.0146,0.0242,0.02388,0.70852,0.66592,NA,NA,0.389459285714286,0.392236377223839,94.58624,97.07088,0.404050550552712,0.405368322220008,0.96984,0.9692,84
"154",1,0.02028,0.01576,0.02644,0.02544,0.70536,0.68112,NA,NA,0.390805294486216,0.393068659486662,96.7958,99.0148,0.404680541170113,0.405696960961536,0.96812,0.96756,85
"155",1,0.0172,0.01412,0.0244,0.024,0.71768,0.67368,NA,NA,0.389001009852217,0.391679392646788,93.73936,96.44472,0.403662404526186,0.404914013487398,0.96672,0.96792,86
"156",1,0.01752,0.0142,0.02376,0.02312,0.71124,0.68724,NA,NA,0.390384200968523,0.392795427474603,96.0152,98.44336,0.404321970539651,0.405462102997468,0.96964,0.97012,87
"157",1,0.01808,0.01584,0.02576,0.02544,0.703,0.69092,NA,NA,0.39196769047619,0.394100309764843,98.44672,100.53488,0.405184077302582,0.406204422789299,0.96924,0.96768,88
"158",1,0.01788,0.01424,0.02492,0.02408,0.70884,0.68376,NA,NA,0.391073893442623,0.393306511802921,95.9146,98.4368,0.404790161909966,0.405815778988126,0.96716,0.96852,89
"159",1,0.32896,0.21752,0.3556,0.34108,0.23688,0.1552,NA,NA,0.479390712729886,0.475882439673392,87.05104,91.24316,0.483353830566972,0.480050681161484,0.90212,0.92624,8
"160",1,0.01748,0.01544,0.02452,0.02412,0.70272,0.68848,NA,NA,0.391735599078341,0.394016716153965,97.81,100.10576,0.404997075409784,0.406134320308517,0.96936,0.96932,90
