"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni","box.skpt","box.enth","pm_rd","pm_pi0","lower_rd","upper_rd","lower_pi0","upper_pi0"
"3082",16,22,36,17,0.787947902065571,0.0493623152885739,0.44756977232534,0.193499088283946,0.453413483555785,0.0611535328434728,0.323942921772897,0.369799605857189,0.576049513050448
"3083",16,22,36,19,0.82090931102494,0.0808981062962744,0.571303019076635,0.168938986350084,0.450685407945023,0.0312283840734548,0.320984119348455,0.321697208052366,0.569189117851542
"3084",16,22,36,20,0.845559776008687,0.0991672280355249,0.638667575426995,0.157402084381055,0.452977246012399,0.0399075214554597,0.342397234185696,0.296611635093215,0.559669557010992
"3085",16,22,36,21,0.873864555264159,0.126426888614295,0.687512938402466,0.15041808534467,0.451105378385174,0.0175242235885818,0.339331547702357,0.273316566915468,0.573180670206579
"3086",16,22,37,16,0.740654307579106,0.0318730038990774,0.353568473081835,0.213775170616092,0.451341935674348,0.0647150899188028,0.325436486301184,0.371952678523087,0.56970295989332
"3087",16,22,37,18,0.797781186184155,0.0543982374080653,0.477116695313455,0.182830269591204,0.455654429861449,0.0450827941055174,0.326786952134668,0.338737626364107,0.567832265618936
"3088",16,22,37,20,0.831009940719639,0.0865265059858937,0.596403533650885,0.163867756330946,0.452553871024812,0.0278675386902945,0.332157049914285,0.29498417702113,0.56086713564195
"3089",16,22,37,21,0.858952843815575,0.108228494693038,0.661374289279153,0.153129393716764,0.454099823747365,0.0258786940164989,0.342523916590442,0.287121389150678,0.571533134371802
"3090",16,22,38,17,0.76696079079538,0.0365592704119539,0.386458440932494,0.20575771452877,0.451826970581355,0.07120698451341,0.324902685043128,0.380221283602088,0.581431095975186
"3091",16,22,38,19,0.805677195294843,0.0591508060031451,0.504910502136986,0.180993213134719,0.453614853125137,0.0504121401717026,0.322117239181264,0.341180530137746,0.568816613406991
"3092",16,22,39,18,0.783692047564674,0.0410833229632481,0.41185119914696,0.200981861579992,0.449227540545652,0.0560168771609327,0.323324912524897,0.360193595725453,0.571836597761185
"3093",16,23,29,14,0.782414567125715,0.0552911682999256,0.457617783385784,0.189911480557202,0.440972387269304,0.0495502330784624,0.317582006724646,0.361602428365433,0.562502717803513
"3094",16,23,29,16,0.849540712112819,0.0954958228687433,0.612086730535297,0.164301130443032,0.439869088453128,0.0322763561221676,0.322264809630237,0.322691961604274,0.551657087248712
"3095",16,23,29,17,0.862972971461372,0.128291060894795,0.679699056362375,0.154301682089053,0.438666402559423,0.0164265127595551,0.321213728164772,0.288729674160685,0.557041272838043
"3096",16,23,31,17,0.846710460105448,0.0895390805302361,0.59160388522262,0.163784797947861,0.442717130615408,0.021546924186643,0.32059599009216,0.31170122995809,0.557255147455603
"3097",16,23,31,19,0.876539598121885,0.145705974237179,0.720080496539383,0.146109082081638,0.438986649385509,0.0012328804932169,0.318758726773462,0.263522582395948,0.552962854580425
"3098",16,23,31,21,0.918796630387196,0.219016717512357,0.834131986162211,0.132568962214558,0.43653817814599,0.00809448126763083,0.327244172216906,0.250314321664681,0.552359461990645
