"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni.final"
"401493",12,29,30,25,0.686849736357867
"401500",9,25,31,21,0.502881058039288
"401521",9,26,31,20,0.452506727127535
"401526",11,31,30,28,0.584003283147408
"401528",22,20,37,21,0.562144726014154
"401531",26,16,30,28,0.248915818128142
"401538",12,19,32,15,0.747931428706192
"401539",10,22,30,14,0.524305802464121
"401542",12,27,31,26,0.756400638768647
"401544",8,20,34,14,0.349272146541202
"401545",12,21,30,17,0.789108479493151
"401549",10,17,36,17,0.714487598428014
"401557",11,26,29,18,0.60283847851693
"401560",7,23,31,15,0.242395094860209
"401562",11,23,29,15,0.614110021799893
"401563",17,18,38,15,0.652664585146589
"401571",13,19,31,11,0.619311194580019
"401573",13,25,30,20,0.804489889308053
"401575",10,26,30,20,0.550844263177205
"401580",15,21,30,14,0.776502987581394
"401582",11,30,30,25,0.582070529502465
"401586",6,20,33,13,0.16690499366428
"401589",13,22,33,20,0.857186598004058
"401590",11,23,32,22,0.75224078572446
"401591",18,22,37,19,0.781219560327526
"401594",20,22,39,19,0.698407704676489
"401600",12,17,33,12,0.653093117004632
"401602",12,27,28,19,0.677212331819952
"401603",14,20,33,17,0.820799186040223
"401604",15,20,35,16,0.773683049995655
"401605",15,20,36,19,0.813298169588061
"401607",9,24,28,9,0.182999696555391
"401609",13,23,32,22,0.88205026394782
"401610",11,22,30,17,0.713602433232717
"401614",13,20,32,17,0.822390340026781
"401615",14,20,34,18,0.82714704637499
"401616",16,18,36,14,0.654690145896411
"401618",13,18,33,14,0.721657869605909
"401620",9,19,34,12,0.394316531471628
"401621",17,24,36,21,0.866691824285744
"401622",12,19,32,7,0.327909085885382
"401623",17,25,34,22,0.906803389726996
"401624",8,20,32,12,0.300455303564394
"401627",17,21,36,18,0.787188239838664
"401628",17,25,35,23,0.912543322306264
"401629",12,21,31,18,0.805998692173734
"401630",9,21,33,15,0.472458068678941
"401635",19,22,37,18,0.736603126110807
"401637",16,20,35,17,0.776448175621873
"401638",9,23,31,17,0.477926148574912
"401640",15,21,34,20,0.861276913408832
"401642",18,23,36,19,0.811297017513377
"401646",13,21,31,17,0.823060214709189
"401649",6,23,32,15,0.153265011246329
"401650",8,19,34,13,0.345673346297521
"401657",13,29,13,45,0.785068654146506
"401677",11,31,20,38,0.629990661146218
"401701",20,22,17,41,0.662500705495328
"401706",12,30,14,44,0.716971056038728
"401715",12,30,22,36,0.720472065437677
"401718",10,32,23,35,0.526411013630877
"401721",11,31,27,31,0.604617972954405
"401722",8,24,33,19,0.375347303312638
"401732",25,17,31,27,0.32296226516773
"401743",25,17,24,34,0.296735183039673
"401746",12,23,33,24,0.855779213979535
"401764",12,26,30,22,0.74923883033726
"401775",8,29,29,22,0.343755872249415
"401798",11,18,34,17,0.775540949558851
"401806",8,31,29,26,0.346191746724322
"401809",14,21,31,16,0.805875688180573
"401817",15,24,34,23,0.921228140003361
"401833",10,26,31,23,0.601171864181487
"401843",12,24,29,19,0.771464427076272
"401851",10,24,32,20,0.60275682426657
"401853",10,20,34,18,0.669498963666308
"401856",12,26,29,19,0.703257938304252
"401862",15,26,30,21,0.89291993204183
"401878",16,21,32,13,0.715841414542292
"401880",12,20,31,17,0.810559934344508
"401882",11,24,29,16,0.613599967561733
"401887",9,25,29,17,0.437233057800685
"401889",25,17,36,22,0.324300691698351
"401890",15,26,31,22,0.896739907264099
"401891",9,24,31,18,0.479314408942577
"401898",11,20,32,15,0.679780779402469
"401905",5,27,31,23,0.158117880786072
"401908",14,18,36,16,0.753120739922507
"401910",9,28,29,20,0.414083719262301
"401912",16,16,39,13,0.571444179416539
"401916",9,28,29,22,0.447019175713947
"401921",10,18,35,15,0.614707328010878
"401926",12,19,33,18,0.819867458580662
"401927",10,25,29,16,0.490171869622005
"401929",12,20,31,11,0.554656961085011
"401931",14,21,34,19,0.863763305132867
"401932",13,20,30,11,0.623822912896591
"401933",10,27,29,18,0.485775333350984
"401935",10,23,31,18,0.60420505987532
"401936",13,20,33,16,0.771916625009186
"401937",14,26,32,24,0.882810726192969
"401939",14,19,35,18,0.811018901478515
"401941",15,24,33,22,0.917009695835355
"401944",8,21,34,17,0.418676260746776
"401945",9,15,38,14,0.579362243132775
"401949",8,25,30,15,0.279361431787766
"401952",11,21,31,13,0.570645637162428
"401953",11,23,32,20,0.720045743534856
"401954",19,23,38,20,0.778907374353243
"401956",11,22,30,13,0.542869789414142
"401958",22,20,41,17,0.540731676975504
"401959",8,19,32,11,0.305529065872222
"401960",8,28,29,19,0.317736608724297
"401966",19,23,39,19,0.766728794905612
"401973",10,25,30,21,0.603677828268651
"401975",11,19,33,17,0.749541429297758
"401982",14,28,16,42,0.883311387136775
"401992",11,31,16,42,0.636393117846086
"402027",14,28,13,45,0.857104373752814
"402032",23,19,19,39,0.392913582561542
"402041",25,17,20,38,0.239405970904863
"402091",10,32,22,36,0.527362162074772
"402120",8,34,27,31,0.331034834204566
"402125",12,24,28,16,0.704132200042673
"402135",12,24,31,21,0.790433513716158
"402140",9,29,30,24,0.433891147016218
"402148",11,29,30,26,0.621949353532405
"402151",22,20,27,31,0.572032384817938
"402158",9,33,28,30,0.408477354054427
"402169",14,28,32,26,0.849375447242518
"402187",10,27,31,24,0.583347112091636
"402191",23,19,34,24,0.480634162272111
"402204",15,26,32,23,0.901745456387831
"402206",10,22,31,17,0.607340784458908
"402208",8,34,24,34,0.345673953778456
"402211",11,22,31,20,0.769748171068599
"402214",9,27,29,19,0.423738195128552
"402219",15,24,31,18,0.851227080827055
"402221",11,19,32,14,0.647829520999583
"402224",18,24,35,21,0.857696471366925
