"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","X.1","X.y","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final"
"23",23,0.61,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,41,1,0,0,0.002,0.001,99.986,99.992,0.61012789968652,0.610107240082966,0.390084348084348,0.390120054945055,0.504876338256379,0.50487114370567,-0.0265821788270147,-0.0265558481185473,0,0
"24",24,0.62,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,42,1,0,0,0.003,0.002,99.974,99.983,0.620338934169279,0.620313264926241,0.390031440781441,0.390068597168597,0.510708300727638,0.51070765147224,-0.0295600879327185,-0.0295354516702228,0,0
"25",25,0.63,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,43,1,0,0,0.003,0.002,99.974,99.983,0.630356175548589,0.630348050165201,0.390031440781441,0.390068597168597,0.516467489552212,0.51647886494257,-0.0324693478858663,-0.0324541342106213,0,0
"26",26,0.39,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,44,1,0.009,0.007,0,0,99.876,99.9,0.389782334179231,0.389787438490125,0.390661697286453,0.390589598144943,0.376071345262554,0.376058153568658,0.0415567918336064,0.041548385306312,0.976,0.974
"27",27,0.4,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,45,1,0.006,0.005,0,0,99.906,99.924,0.400184700079614,0.400190711419986,0.390571004645761,0.390535492610837,0.382539036468926,0.382531882428192,0.0378333313511641,0.0378324905357022,0.981,0.979
"28",28,0.41,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,46,1,0.006,0.003,0,0,99.91,99.927,0.409871660059008,0.409911895612952,0.390595539068445,0.390515952380952,0.388499555272618,0.388506198514227,0.034482738676478,0.0344574927668277,0.975,0.975
"29",29,0.42,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,47,1,0.004,0.001,0,0,99.944,99.955,0.419797365388162,0.419837561069697,0.390380486803637,0.390313095238095,0.394536663344296,0.39455068895501,0.0309982526242518,0.0309737786783094,0.973,0.973
"30",30,0.43,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,49,1,0.001,0.001,0,0,99.994,99.997,0.430176802507837,0.430179673321234,0.390119047619048,0.390127380952381,0.400759389372247,0.400762960290746,0.0274557030940274,0.0274588926602169,0.935,0.935
"31",31,0.44,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,50,1,0,0,0,0,100,100,0.439620689655172,0.439620689655172,0.390095238095238,0.390095238095238,0.406450813134809,0.406450813134809,0.0242885331313714,0.0242885331313714,0.921,0.921
"32",32,0.45,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,51,1,0,0,0,0,100,100,0.449706896551724,0.449706896551724,0.390095238095238,0.390095238095238,0.412494800790567,0.412494800790567,0.0209742138779511,0.0209742138779511,0.844,0.844
"33",33,0.46,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,52,1,0,0,0,0,100,100,0.459810344827586,0.459810344827586,0.390095238095238,0.390095238095238,0.418483215292051,0.418483215292051,0.0177357089034785,0.0177357089034785,0.82,0.82
"34",34,0.47,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,53,1,0,0,0,0,100,100,0.469051724137931,0.469051724137931,0.390095238095238,0.390095238095238,0.423934372329571,0.423934372329571,0.014803468718495,0.014803468718495,0.687,0.687
"35",35,0.48,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,54,1,0,0,0,0,100,100,0.478827586206897,0.478827586206897,0.390095238095238,0.390095238095238,0.429661417186466,0.429661417186466,0.0117549118216846,0.0117549118216846,0.645,0.645
"36",36,0.49,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,55,1,0,0,0,0,100,100,0.488827586206897,0.488827586206897,0.390095238095238,0.390095238095238,0.435498382533743,0.435498382533743,0.00866280919926176,0.00866280919926176,0.485,0.485
"37",37,0.5,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,56,1,0,0,0,0,100,100,0.498137931034483,0.498137931034483,0.390095238095238,0.390095238095238,0.440896633883775,0.440896633883775,0.00584240436722238,0.00584240436722238,0.423,0.423
"38",38,0.51,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,57,1,0,0,0,0,100,100,0.511172413793103,0.511172413793103,0.390095238095238,0.390095238095238,0.448304810191319,0.448304810191319,0.00205717056283451,0.00205717056283451,0.265,0.265
"39",39,0.52,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,58,1,0,0,0,0,100,100,0.521172413793103,0.521172413793103,0.390095238095238,0.390095238095238,0.454043756538124,0.454043756538124,-0.00088618878155443,-0.00088618878155443,0.216,0.216
"40",40,0.53,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,60,1,0,0,0,0,100,100,0.530948275862069,0.530948275862069,0.390095238095238,0.390095238095238,0.459638318721318,0.459638318721318,-0.00373958802402274,-0.00373958802402274,0.098,0.098
